連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
0000,4E00,J,5F0C,J,,,,,,,,,,
0001,4E01,J,,,,,,,,,,,,
0002,4E03,J,,,,,,,,,,,,
0003,4E08,J,,,,,,,,,,,,
0004,4E09,J,5F0E,J,,,,,,,,,,
0005,4E0A,J,,,,,,,,,,,,
0006,4E0B,J,,,,,,,,,,,,
0007,4E0C,CU,,,,,,,,,,,,
0008,4E0D,J,,,,,,,,,,,,
0009,4E10,J,,,,,,,,,,,,
0010,4E11,J,4E11,C,,,,,,,,,,
0011,4E14,J,,,,,,,,,,,,
0012,4E15,J,,,,,,,,,,,,
0013,4E16,J,534B,J,4E17,J,,,,,,,,
0014,4E18,J,,,,,,,,,,,,
0015,4E19,J,,,,,,,,,,,,
0016,4E1E,J,,,,,,,,,,,,
0017,4E1F,T,4E22,C,,,,,,,,,,
0018,4E28,J,,,,,,,,,,,,
0019,4E2A,J,,,,,,,,,,,,
0020,4E2B,J,,,,,,,,,,,,
0021,4E2D,J,,,,,,,,,,,,
0022,4E30,J,,,,,,,,,,,,
0023,4E31,JU,535D,T,,,,,,,,,,
0024,4E32,J,,,,,,,,,,,,
0025,4E36,J,,,,,,,,,,,,
0026,4E38,J,,,,,,,,,,,,
0027,4E39,J,,,,,,,,,,,,
0028,4E3B,J,,,,,,,,,,,,
0029,4E3C,JU,,,,,,,,,,,,
0030,4E3F,J,,,,,,,,,,,,
0031,4E42,J,,,,,,,,,,,,
0032,4E43,J,,,,,,,,,,,,
0033,4E45,J,4E46,T,,,,,,,,,,
0034,4E47,CU,,,,,,,,,,,,
0035,4E4B,J,,,,,,,,,,,,
0036,4E4D,J,,,,,,,,,,,,
0037,4E4E,J,,,,,,,,,,,,
0038,4E4F,J,,,,,,,,,,,,
0039,4E52,C,,,,,,,,,,,,
0040,4E53,C,,,,,,,,,,,,
0041,4E56,J,,,,,,,,,,,,
0042,4E58,J,4E57,J,,,,,,,,,,
0043,4E59,J,,,,,,,,,,,,
0044,4E5C,CU,,,,,,,,,,,,
0045,4E5D,J,,,,,,,,,,,,
0046,4E5E,J,,,,,,,,,,,,
0047,4E5F,J,,,,,,,,,,,,
0048,4E62,JU,,,,,,,,,,,,
0049,4E69,C,,,,,,,,,,,,
0050,4E6B,KU,,,,,,,,,,,,
0051,4E6D,KU,,,,,,,,,,,,
0052,4E73,J,,,,,,,,,,,,
0053,4E76,KU,,,,,,,,,,,,
0054,4E77,KU,,,,,,,,,,,,
0055,4E7E,J,5E72,C,4E79,J,,,,,,,,
0056,4E82,J,4E71,J,,,,,,,,,,
0057,4E85,J,,,,,,,,,,,,
0058,4E86,J,,,,,,,,,,,,
0059,4E88,J,,,,,,,,,,,,
0060,4E8B,J,4E8A,J,53D3,J,,,,,,,,
0061,4E8C,J,5F0D,J,,,,,,,,,,
0062,4E8D,CU,,,,,,,,,,,,
0063,4E8E,J,4E8F,T,4E90,K,,,,,,,,
0064,4E91,J,,,,,,,,,,,,
0065,4E92,J,,,,,,,,,,,,
0066,4E93,CU,,,,,,,,,,,,
0067,4E94,J,,,,,,,,,,,,
0068,4E95,J,,,,,,,,,,,,
0069,4E98,J,4E99,J,,,,,,,,,,
0070,4E9B,J,,,,,,,,,,,,
0071,4E9E,J,4E9A,C,4E9C,J,,,,,,,,
0072,4E9F,J,,,,,,,,,,,,
0073,4EA0,J,,,,,,,,,,,,
0074,4EA1,J,5166,J,,,,,,,,,,
0075,4EA2,J,,,,,,,,,,,,
0076,4EA4,J,,,,,,,,,,,,
0077,4EA5,J,,,,,,,,,,,,
0078,4EA6,J,,,,,,,,,,,,
0079,4EA8,J,4EAF,J,,,,,,,,,,
0080,4EAB,J,,,,,,,,,,,,
0081,4EAC,J,4EB0,J,,,,,,,,,,
0082,4EAD,J,,,,,,,,,,,,
0083,4EAE,J,4EAE,C,,,,,,,,,,
0084,4EB3,J,,,,,,,,,,,,
0085,4EB6,J,,,,,,,,,,,,
0086,4EBA,J,,,,,,,,,,,,
0087,4EBB,CU,,,,,,,,,,,,
0088,4EC0,J,,,,,,,,,,,,
0089,4EC1,J,,,,,,,,,,,,
0090,4EC2,J,,,,,,,,,,,,
0091,4EC3,C,,,,,,,,,,,,
0092,4EC4,J,,,,,,,,,,,,
0093,4EC6,J,,,,,,,,,,,,
0094,4EC7,J,,,,,,,,,,,,
0095,4EC9,CU,,,,,,,,,,,,
0096,4ECA,J,,,,,,,,,,,,
0097,4ECB,J,,,,,,,,,,,,
0098,4ECD,J,,,,,,,,,,,,
0099,4ED4,J,,,,,,,,,,,,
0100,4ED5,J,,,,,,,,,,,,
0101,4ED6,J,,,,,,,,,,,,
0102,4ED7,J,,,,,,,,,,,,
0103,4ED8,J,,,,,,,,,,,,
0104,4ED9,J,,,,,,,,,,,,
0105,4EDD,CU,,,,,,,,,,,,
0106,4EDE,T,4EED,J,4EDE,J,,,,,,,,
0107,4EDF,J,,,,,,,,,,,,
0108,4EE1,J,,,,,,,,,,,,
0109,4EE3,J,,,,,,,,,,,,
0110,4EE4,J,,,,,,,,,,,,
0111,4EE5,J,4EE5,C,,,,,,,,,,
0112,4EE8,CU,,,,,,,,,,,,
0113,4EEB,CU,,,,,,,,,,,,
0114,4EF0,J,,,,,,,,,,,,
0115,4EF2,J,,,,,,,,,,,,
0116,4EF3,J,,,,,,,,,,,,
0117,4EF5,CU,,,,,,,,,,,,
0118,4EF6,J,,,,,,,,,,,,
0119,4EF7,J,,,,,,,,,,,,
0120,4EFB,J,,,,,,,,,,,,
0121,4EFD,J,,,,,,,,,,,,
0122,4EFF,J,,,,,,,,,,,,
0123,4F01,J,,,,,,,,,,,,
0124,4F03,J,,,,,,,,,,,,
0125,4F09,J,,,,,,,,,,,,
0126,4F0A,J,,,,,,,,,,,,
0127,4F0B,J,,,,,,,,,,,,
0128,4F0D,J,,,,,,,,,,,,
0129,4F0E,J,,,,,,,,,,,,
0130,4F0F,J,,,,,,,,,,,,
0131,4F10,J,,,,,,,,,,,,
0132,4F11,J,,,,,,,,,,,,
0133,4F15,TU,,,,,,,,,,,,
0134,4F19,C,,,,,,,,,,,,
0135,4F22,CU,,,,,,,,,,,,
0136,4F2F,J,,,,,,,,,,,,
0137,4F30,J,,,,,,,,,,,,
0138,4F32,CU,,,,,,,,,,,,
0139,4F34,J,,,,,,,,,,,,
0140,4F36,J,,,,,,,,,,,,
0141,4F38,J,,,,,,,,,,,,
0142,4F3A,J,,,,,,,,,,,,
0143,4F3C,J,4F40,J,,,,,,,,,,
0144,4F3D,J,,,,,,,,,,,,
0145,4F43,J,,,,,,,,,,,,
0146,4F46,J,,,,,,,,,,,,
0147,4F47,J,4F2B,C,,,,,,,,,,
0148,4F48,J,,,,,,,,,,,,
0149,4F4D,J,,,,,,,,,,,,
0150,4F4E,J,,,,,,,,,,,,
0151,4F4F,J,,,,,,,,,,,,
0152,4F50,J,,,,,,,,,,,,
0153,4F51,J,,,,,,,,,,,,
0154,4F54,J,5360,C,,,,,,,,,,
0155,4F55,J,,,,,,,,,,,,
0156,4F57,J,,,,,,,,,,,,
0157,4F58,CU,,,,,,,,,,,,
0158,4F5A,J,,,,,,,,,,,,
0159,4F5B,J,4ECF,J,,,,,,,,,,
0160,4F5C,J,,,,,,,,,,,,
0161,4F5D,J,,,,,,,,,,,,
0162,4F5E,J,4FAB,J,,,,,,,,,,
0163,4F5F,CU,,,,,,,,,,,,
0164,4F60,C,4F31,J,,,,,,,,,,
0165,4F63,T,,,,,,,,,,,,
0166,4F64,CU,,,,,,,,,,,,
0167,4F67,CU,,,,,,,,,,,,
0168,4F69,J,,,,,,,,,,,,
0169,4F6C,C,,,,,,,,,,,,
0170,4F6F,J,,,,,,,,,,,,
0171,4F70,J,,,,,,,,,,,,
0172,4F73,J,,,,,,,,,,,,
0173,4F74,CU,,,,,,,,,,,,
0174,4F76,J,,,,,,,,,,,,
0175,4F7A,T,,,,,,,,,,,,
0176,4F7B,J,,,,,,,,,,,,
0177,4F7C,J,,,,,,,,,,,,
0178,4F7E,J,,,,,,,,,,,,
0179,4F7F,J,,,,,,,,,,,,
0180,4F81,KU,,,,,,,,,,,,
0181,4F83,J,5058,T,,,,,,,,,,
0182,4F84,C,,,,,,,,,,,,
0183,4F86,J,6765,J,,,,,,,,,,
0184,4F88,J,,,,,,,,,,,,
0185,4F89,CU,,,,,,,,,,,,
0186,4F8A,KU,,,,,,,,,,,,
0187,4F8B,J,,,,,,,,,,,,
0188,4F8D,J,,,,,,,,,,,,
0189,4F8F,J,,,,,,,,,,,,
0190,4F91,J,,,,,,,,,,,,
0191,4F94,J,,,,,,,,,,,,
0192,4F96,J,4ED1,C,,,,,,,,,,
0193,4F97,J,,,,,,,,,,,,
0194,4F98,J,,,,,,,,,,,,
0195,4F9B,J,,,,,,,,,,,,
0196,4F9D,J,,,,,,,,,,,,
0197,4FAE,C,4FAE,J,,,,,,,,,,
0198,4FAF,J,77E6,J,,,,,,,,,,
0199,4FB5,T,4FB5,J,,,,,,,,,,
0200,4FB6,J,4FA3,C,,,,,,,,,,
0201,4FB7,J,,,,,,,,,,,,
0202,4FBF,J,,,,,,,,,,,,
0203,4FC1,T,4FE3,C,,,,,,,,,,
0204,4FC2,J,7CFB,C,,,,,,,,,,
0205,4FC3,J,,,,,,,,,,,,
0206,4FC4,J,,,,,,,,,,,,
0207,4FC5,J,,,,,,,,,,,,
0208,4FC9,KU,,,,,,,,,,,,
0209,4FCA,J,,,,,,,,,,,,
0210,4FCE,J,723C,J,,,,,,,,,,
0211,4FCF,J,4FCF,C,,,,,,,,,,
0212,4FD0,J,,,,,,,,,,,,
0213,4FD1,J,,,,,,,,,,,,
0214,4FD3,KU,,,,,,,,,,,,
0215,4FD4,J,,,,,,,,,,,,
0216,4FD7,J,,,,,,,,,,,,
0217,4FD8,J,4FD8,C,,,,,,,,,,
0218,4FDA,J,,,,,,,,,,,,
0219,4FDB,JU,,,,,,,,,,,,
0220,4FDC,CU,,,,,,,,,,,,
0221,4FDD,J,,,,,,,,,,,,
0222,4FDF,J,,,,,,,,,,,,
0223,4FE0,J,4FA0,J,,,,,,,,,,
0224,4FE1,J,,,,,,,,,,,,
0225,4FE3,JU,,,,,,,,,,,,
0226,4FE4,JU,,,,,,,,,,,,
0227,4FE5,JU,,,,,,,,,,,,
0228,4FEE,J,4FEE,C,,,,,,,,,,
0229,4FEF,J,,,,,,,,,,,,
0230,4FF1,C,5036,J,,,,,,,,,,
0231,4FF3,J,,,,,,,,,,,,
0232,4FF5,J,,,,,,,,,,,,
0233,4FF6,JU,,,,,,,,,,,,
0234,4FF8,J,,,,,,,,,,,,
0235,4FFA,J,,,,,,,,,,,,
0236,4FFE,J,,,,,,,,,,,,
